Date,Log
08.05.2020,"16134,GameA,24,3,0.4832099"
08.05.2020,"16134,GameA,25,1,0.7657301"
08.05.2020,"71149,GameC,37,1,0.04966"
08.05.2020,"16134,GameA,26,0,0.299705"
08.05.2020,"71149,GameC,38,1,0.03286"
08.05.2020,"16134,GameA,28,1,0.34859"
08.05.2020,"71149,GameC,39,1,0.033605"
08.05.2020,"16134,GameA,30,2,0.36734"
08.05.2020,"71149,GameC,40,1,0.100195"
08.05.2020,"16134,GameA,32,2,0.28275"
08.05.2020,"16134,GameA,33,1,0.26691"
08.05.2020,"16134,GameA,34,0,0.31622"
08.05.2020,"16134,GameA,35,1,0.2999"
08.05.2020,"71149,F,0,-1,14.56373"
08.05.2020,"16134,GameA,36,2,0.29834"
08.05.2020,"16134,GameA,37,3,0.31769"
08.05.2020,"16134,GameA,38,1,0.300005"
08.05.2020,"16134,GameA,39,2,0.30034"
08.05.2020,"16134,GameA,40,3,0.267035"
08.05.2020,"16134,GameA,41,1,0.300955"
08.05.2020,"16134,GameA,42,2,0.30005"
08.05.2020,"16134,GameA,43,1,0.266405"
08.05.2020,"16134,GameA,44,2,0.15007"
08.05.2020,"16134,GameA,45,1,0.033385"
08.05.2020,"16134,GameA,46,2,0"
08.05.2020,"16134,GameB,0,1,0.9996649"
08.05.2020,"16134,GameB,1,0,0.43481"
08.05.2020,"16134,GameB,2,1,0.03312"
08.05.2020,"16134,GameB,3,1,0.06699"
08.05.2020,"16134,GameB,4,0,0.13241"
08.05.2020,"16134,GameB,5,0,0.21735"
08.05.2020,"16134,GameB,6,0,0.16523"
08.05.2020,"16134,GameB,7,0,0.033035"
08.05.2020,"16134,GameB,8,1,0.067095"
08.05.2020,"16134,GameB,9,0,0.082575"
08.05.2020,"16134,GameB,10,0,0.18353"
08.05.2020,"16134,GameB,11,0,0.1331"
08.05.2020,"16134,GameB,12,0,0.166325"
08.05.2020,"16134,GameB,13,0,0.149095"
08.05.2020,"16134,GameB,14,1,0.166285"
08.05.2020,"16134,GameB,15,1,0.16538"
08.05.2020,"16134,GameB,16,0,0.20044"
08.05.2020,"16134,GameB,17,0,0.116615"
08.05.2020,"16134,GameB,18,0,0.183725"
08.05.2020,"16134,GameB,19,0,0.16653"
08.05.2020,"16134,GameB,20,0,0.19895"
08.05.2020,"16134,GameB,21,0,0.26561"
08.05.2020,"16134,GameB,22,0,0.21544"
08.05.2020,"16134,GameB,23,1,0.11533"
08.05.2020,"16134,GameB,24,0,0.116"
08.05.2020,"16134,GameB,25,0,0.267835"
08.05.2020,"16134,GameB,26,0,0.16576"
08.05.2020,"61036,Q,0,1,21.84039"
08.05.2020,"16134,GameB,27,0,0.26553"
08.05.2020,"61036,Q,1,1,21.84039"
08.05.2020,"61036,Q,2,2,21.84039"
08.05.2020,"16134,GameB,29,0,0.2505"
08.05.2020,"16134,GameB,30,1,0.132465"
08.05.2020,"16134,GameB,31,0,0.049735"
08.05.2020,"16134,GameB,32,1,0.01654"
08.05.2020,"16134,GameB,33,1,0.083915"
08.05.2020,"16134,GameB,34,0,1.24936"
08.05.2020,"61036,Q,3,1,15.81836"
08.05.2020,"16134,GameB,36,0,0.14922"
08.05.2020,"16134,GameB,37,0,0.101175"
08.05.2020,"16134,GameB,38,1,0.13293"
08.05.2020,"16134,GameB,39,1,0.06713"
08.05.2020,"61036,Q,4,1,8.299971"
08.05.2020,"16134,GameB,40,0,0.016585"
08.05.2020,"16134,GameB,41,0,0.150655"
08.05.2020,"16134,GameB,42,0,0.01575"
08.05.2020,"16134,GameB,43,1,0.166845"
08.05.2020,"61036,Q,5,0,8.218446"
08.05.2020,"61036,Q,6,1,3.91626"
08.05.2020,"61036,Q,7,1,7.23461"
08.05.2020,"61036,Q,8,2,9.417779"
08.05.2020,"61036,Q,9,0,10.85039"
08.05.2020,"Exception: UnassignedReferenceException: The variable m_hideFixedTitle of QuestionnaireController has not been assigned.
You probably need to assign the m_hideFixedTitle variable of the QuestionnaireController script in the inspector.
SetShifting.Controllers.QuestionnaireController.StartQuestionnaire () (at Assets/Scripts/SetShifting/Controllers/QuestionnaireController.cs:70)
SetShifting.Controllers.GameManager.Start () (at Assets/Scripts/SetShifting/Controllers/GameManager.cs:97)"
08.05.2020,"61036,Q,10,0,13.16624"
08.05.2020,"61036,Q,11,0,4.951503"
08.05.2020,"Exception: UnassignedReferenceException: The variable m_hideFixedTitle of QuestionnaireController has not been assigned.
You probably need to assign the m_hideFixedTitle variable of the QuestionnaireController script in the inspector.
SetShifting.Controllers.QuestionnaireController.StartQuestionnaire () (at Assets/Scripts/SetShifting/Controllers/QuestionnaireController.cs:70)
SetShifting.Controllers.GameManager.Start () (at Assets/Scripts/SetShifting/Controllers/GameManager.cs:97)"
08.05.2020,"Exception: UnassignedReferenceException: The variable m_hideFixedTitle of QuestionnaireController has not been assigned.
You probably need to assign the m_hideFixedTitle variable of the QuestionnaireController script in the inspector.
SetShifting.Controllers.QuestionnaireController.StartQuestionnaire () (at Assets/Scripts/SetShifting/Controllers/QuestionnaireController.cs:70)
SetShifting.Controllers.GameManager.Start () (at Assets/Scripts/SetShifting/Controllers/GameManager.cs:97)"
08.05.2020,"61036,GameA,0,2,3.835415"
08.05.2020,"61036,GameA,1,3,3.132851"
08.05.2020,"61036,GameA,2,3,3.96526"
08.05.2020,"61036,GameA,3,1,1.33218"
08.05.2020,"61036,GameA,4,3,1.917215"
08.05.2020,"61036,GameA,5,0,1.247825"
08.05.2020,"61036,GameA,6,0,1.33447"
08.05.2020,"61036,GameA,7,2,1.18232"
08.05.2020,"61036,GameA,8,2,1.26693"
08.05.2020,"61036,GameA,9,0,1.333019"
08.05.2020,"61036,GameA,10,0,0.815965"
08.05.2020,"61036,GameA,11,3,1.23319"
08.05.2020,"61036,GameA,12,2,1.548565"
08.05.2020,"61036,GameA,13,2,4.265899"
08.05.2020,"61036,GameA,14,2,1.183125"
08.05.2020,"61036,GameA,15,1,1.348215"
08.05.2020,"61036,GameA,16,0,2.43469"
08.05.2020,"61036,GameA,17,2,1.899365"
08.05.2020,"61036,GameA,18,1,4.401029"
08.05.2020,"61036,GameA,19,3,3.334655"
08.05.2020,"0,Q,0,2,16.95782"
08.05.2020,"61036,GameA,21,3,2.16737"
08.05.2020,"0,Q,2,4,16.95782"
08.05.2020,"0,Q,3,0,1.568182"
08.05.2020,"0,Q,4,0,0.1780858"
08.05.2020,"61036,GameA,23,2,2.747835"
08.05.2020,"0,Q,6,0,0.2843304"
08.05.2020,"61036,GameA,24,1,1.432795"
08.05.2020,"0,Q,7,0,0.2557265"
08.05.2020,"0,Q,8,0,3.759678"
08.05.2020,"0,Q,9,0,0.2132903"
08.05.2020,"61036,GameA,25,1,4.517346"
08.05.2020,"0,Q,10,0,0.1827693"
08.05.2020,"0,Q,11,0,1.396525"
08.05.2020,"0,F,0,0,4.088652"
08.05.2020,"0,F,1,0,0.455654"
08.05.2020,"61036,GameA,28,2,1.516215"
08.05.2020,"61036,GameA,29,0,2.799111"
08.05.2020,"61036,GameA,30,0,2.450425"
08.05.2020,"61036,GameA,31,3,1.365025"
08.05.2020,"61036,GameA,32,0,1.71568"
08.05.2020,"61036,GameA,33,1,1.400355"
08.05.2020,"61036,GameA,34,3,1.649795"
08.05.2020,"61036,GameA,35,3,2.249825"
08.05.2020,"61036,GameA,36,2,2.015535"
08.05.2020,"0,Q,1,0,3.491602"
08.05.2020,"61036,GameA,37,1,1.14939"
08.05.2020,"0,Q,2,4,3.491602"
08.05.2020,"61036,GameA,38,1,2.23378"
08.05.2020,"0,Q,3,0,6.328547"
08.05.2020,"61036,GameA,39,2,1.133435"
08.05.2020,"0,Q,4,0,1.024923"
08.05.2020,"0,Q,5,0,0.1927826"
08.05.2020,"61036,GameA,41,2,1.51543"
08.05.2020,"0,Q,7,0,0.19631"
08.05.2020,"61036,GameA,42,2,2.417065"
08.05.2020,"0,Q,9,0,0.1804253"
08.05.2020,"61036,GameA,43,0,3.383691"
08.05.2020,"0,Q,11,0,0.1752145"
08.05.2020,"61036,GameA,44,3,1.518355"
08.05.2020,"61036,GameA,45,1,1.350375"
08.05.2020,"61036,GameA,46,3,2.547755"
08.05.2020,"61036,GameB,0,1,5.433726"
08.05.2020,"61036,GameB,1,1,1.63217"
08.05.2020,"61036,GameB,2,1,0.9670849"
08.05.2020,"61036,GameB,3,0,2.31629"
08.05.2020,"61036,GameB,4,0,1.565985"
08.05.2020,"61036,GameB,5,0,1.584335"
08.05.2020,"61036,GameB,6,1,1.39827"
08.05.2020,"61036,GameB,7,1,1.000115"
08.05.2020,"61036,GameB,8,0,1.465935"
08.05.2020,"61036,GameB,9,0,1.700365"
08.05.2020,"61036,GameB,10,1,1.100585"
08.05.2020,"61036,GameB,11,0,1.185205"
08.05.2020,"61036,GameB,12,1,4.015981"
08.05.2020,"61036,GameB,13,1,3.532284"
08.05.2020,"61036,GameB,14,0,1.08628"
08.05.2020,"61036,GameB,15,1,1.098895"
08.05.2020,"61036,GameB,16,0,1.383365"
08.05.2020,"61036,GameB,17,0,1.166195"
08.05.2020,"61036,GameB,18,1,1.400405"
08.05.2020,"61036,GameB,19,1,0.897485"
08.05.2020,"61036,GameB,20,0,1.234095"
08.05.2020,"61036,GameB,21,0,1.16913"
08.05.2020,"61036,GameB,22,1,1.069105"
08.05.2020,"61036,GameB,23,0,3.900624"
08.05.2020,"61036,GameB,24,1,1.08309"
08.05.2020,"61036,GameB,25,0,1.416"
08.05.2020,"61036,GameB,26,1,0.9496801"
08.05.2020,"61036,GameB,27,1,1.14927"
08.05.2020,"61036,GameB,28,0,1.00076"
08.05.2020,"61036,GameB,29,0,0.9332001"
08.05.2020,"61036,GameB,30,0,0.8042399"
08.05.2020,"61036,GameB,31,1,0.9344402"
08.05.2020,"61036,GameB,32,0,0.948615"
08.05.2020,"61036,GameB,33,0,22.33458"
08.05.2020,"61036,GameB,34,1,1.11724"
08.05.2020,"61036,GameB,35,1,5.051989"
08.05.2020,"61036,GameB,36,0,2.965775"
08.05.2020,"61036,GameB,37,0,1.567055"
08.05.2020,"61036,GameB,38,0,2.950405"
08.05.2020,"61036,GameB,39,0,1.18288"
08.05.2020,"61036,GameB,40,1,2.665771"
08.05.2020,"61036,GameB,41,1,1.7013"
08.05.2020,"61036,GameB,42,1,0.86651"
08.05.2020,"61036,GameB,43,0,4.821902"
08.05.2020,"61036,GameB,44,1,1.0818"
08.05.2020,"61036,GameB,45,0,1.482385"
08.05.2020,"61036,GameB,46,1,0.7643"
08.05.2020,"61036,GameB,47,0,1.13272"
08.05.2020,"61036,GameB,48,1,1.015315"
08.05.2020,"61036,GameB,49,0,1.382745"
08.05.2020,"61036,GameB,50,0,1.15129"
08.05.2020,"61036,GameB,51,1,0.8178052"
08.05.2020,"61036,GameB,52,0,4.88406"
08.05.2020,"61036,GameB,53,0,4.968448"
08.05.2020,"61036,GameB,54,1,1.016845"
08.05.2020,"61036,GameB,55,0,0.9822899"
08.05.2020,"61036,GameB,56,1,3.03264"
08.05.2020,"61036,GameB,57,1,1.55023"
08.05.2020,"61036,GameB,58,0,0.9645601"
08.05.2020,"61036,GameB,59,0,3.600081"
08.05.2020,"61036,GameB,60,1,0.9697248"
08.05.2020,"61036,GameB,61,0,0.9330099"
08.05.2020,"61036,GameB,62,1,0.83401"
08.05.2020,"61036,GameB,63,0,3.684436"
08.05.2020,"61036,GameB,64,1,0.7151549"
08.05.2020,"61036,GameB,65,0,1.552095"
08.05.2020,"61036,GameB,66,1,1.30001"
08.05.2020,"61036,GameB,67,1,1.683015"
08.05.2020,"61036,GameB,68,1,1.148885"
08.05.2020,"61036,GameB,69,1,1.33209"
08.05.2020,"61036,GameB,70,1,1.09951"
08.05.2020,"61036,GameB,71,0,1.432745"
08.05.2020,"61036,GameB,72,1,0.7666252"
08.05.2020,"61036,GameB,73,1,0.800685"
08.05.2020,"61036,GameB,74,0,1.967205"
08.05.2020,"61036,GameC,0,0,5.284671"
08.05.2020,"61036,GameC,1,1,4.134889"
08.05.2020,"61036,GameC,2,1,1.333365"
08.05.2020,"61036,GameC,3,0,1.450185"
08.05.2020,"61036,GameC,4,0,1.31684"
08.05.2020,"61036,GameC,5,2,2.865515"
08.05.2020,"61036,GameC,6,3,1.166075"
08.05.2020,"61036,GameC,7,0,1.484285"
08.05.2020,"61036,GameC,8,2,1.06667"
08.05.2020,"61036,GameC,9,3,1.065215"
08.05.2020,"61036,GameC,10,2,1.048575"
08.05.2020,"61036,GameC,11,0,1.63421"
08.05.2020,"61036,GameC,12,2,2.06679"
08.05.2020,"61036,GameC,13,2,1.048935"
08.05.2020,"61036,GameC,14,2,1.283585"
08.05.2020,"61036,GameC,15,2,1.101325"
08.05.2020,"61036,GameC,16,1,1.700005"
08.05.2020,"61036,GameC,17,0,1.699085"
08.05.2020,"61036,GameC,18,2,2.499401"
08.05.2020,"61036,GameC,19,2,1.683855"
08.05.2020,"61036,GameC,20,2,2.254844"
08.05.2020,"61036,GameC,21,1,1.36713"
08.05.2020,"61036,GameC,22,0,1.21688"
08.05.2020,"61036,GameC,23,1,2.616636"
